,id_site,no_couche,carbone_16_5_1,ph_eau_6_1,soil_composition,desc_code_occupation1,desc_code_occupation3,x_theo,y_theo
3489,2041,1,49.1,6.7,0.84,surfaces boisees,forets mixtes,997226.35,6298862.95
3490,2041,2,20.7,7.4,0.881,surfaces boisees,forets mixtes,997226.35,6298862.95
3491,2042,1,85.0,7.6,0.921,surfaces boisees,forets de coniferes,1013208.43,6298724.73
3492,2043,1,35.3,7.7,0.794,surfaces boisees,forets mixtes,1029190.52,6298586.32
3493,2043,2,18.6,7.9,0.787,surfaces boisees,forets mixtes,1029190.52,6298586.32
3494,2044,1,31.0,8.1,0.432,vignes vergers et cultures perennes arbustives,fruits a  noyau,1045172.63,6298447.69
3495,2046,1,6.55,4.3,0.031,parcs et jardins,parcelle boisee de parc,341819.89,6288389.93
3496,2046,2,2.38,4.5,0.02,parcs et jardins,parcelle boisee de parc,341819.89,6288389.93
3497,2047,1,8.38,5.9,0.419,successions culturales,monoculture,357802,6288259.26
3498,2047,2,6.34,6.2,0.455,successions culturales,monoculture,357802,6288259.26
3499,2048,1,10.4,6.1,0.545,successions culturales,monoculture,373784.16,6288128.42
3500,2048,2,5.16,8.2,0.565,successions culturales,monoculture,373784.16,6288128.42
3501,2049,1,16.7,5.3,0.855,surfaces toujours en herbe,STH 6-10 ans semee,389766.43,6287997.38
3502,2049,2,7.99,6.6,0.864,surfaces toujours en herbe,STH 6-10 ans semee,389766.43,6287997.38
3503,2050,1,8.04,6.4,0.743,successions culturales,monoculture,405748.75,6287866.17
3504,2050,2,5.53,7.5,0.792,successions culturales,monoculture,405748.75,6287866.17
3505,2051,1,12.4,5.0,0.459,surfaces boisees,forets caducifoliees,421731.02,6287734.74
3506,2051,2,4.58,5.4,0.474,surfaces boisees,forets caducifoliees,421731.02,6287734.74
3507,2052,1,14.9,6.1,0.805,successions culturales,monoculture,437713.25,6287603.09
3508,2053,1,15.1,5.0,0.866,surfaces boisees,forets caducifoliees,453695.45,6287471.24
3509,2053,2,6.52,5.5,0.86,surfaces boisees,forets caducifoliees,453695.45,6287471.24
3510,2054,1,18.1,8.0,0.851,surfaces boisees,forets de coniferes,469677.69,6287339.2
3511,2054,2,5.42,8.4,0.858,surfaces boisees,forets de coniferes,469677.69,6287339.2
3512,2055,1,25.1,7.1,0.861,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,485659.99,6287206.99
3513,2055,2,10.7,7.6,0.874,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,485659.99,6287206.99
3514,2056,1,16.0,8.0,0.835,successions culturales,systeme de rotations sans prairie sans interculture,501642.37,6287074.62
3515,2056,2,6.72,8.2,0.824,successions culturales,systeme de rotations sans prairie sans interculture,501642.37,6287074.62
3516,2057,1,13.4,8.2,0.854,successions culturales,grandes cultures et prairies courte duree,517624.74,6286942.11
3517,2057,2,5.78,8.3,0.855,successions culturales,grandes cultures et prairies courte duree,517624.74,6286942.11
3518,2058,1,9.93,8.2,0.834,successions culturales,systeme de rotations sans prairie sans interculture,533607.06,6286809.4
3519,2058,2,6.58,8.3,0.86,successions culturales,systeme de rotations sans prairie sans interculture,533607.06,6286809.4
3520,2059,1,12.9,8.3,0.794,successions culturales,grandes cultures et prairies courte duree,549589.38,6286676.5
3521,2059,2,8.55,8.3,0.787,successions culturales,grandes cultures et prairies courte duree,549589.38,6286676.5
3522,2060,1,19.0,5.6,0.661,surfaces boisees,forets caducifoliees,565571.65,6286543.42
3523,2060,2,5.79,5.5,0.698,surfaces boisees,forets caducifoliees,565571.65,6286543.42
3524,2062,1,10.9,8.3,0.648,successions culturales,systeme de rotations sans prairie sans interculture,597536.15,6286276.72
3525,2062,2,3.78,8.5,0.697,successions culturales,systeme de rotations sans prairie sans interculture,597536.15,6286276.72
3526,2063,1,8.06,6.3,0.75,successions culturales,systeme de rotations sans prairie sans interculture,613518.4,6286143.14
3527,2063,2,5.73,6.9,0.772,successions culturales,systeme de rotations sans prairie sans interculture,613518.4,6286143.14
3528,2064,1,7.04,6.0,0.368,successions culturales,systeme de rotations sans prairie sans interculture,629500.61,6286009.35
3529,2064,2,4.83,6.1,0.392,successions culturales,systeme de rotations sans prairie sans interculture,629500.61,6286009.35
3530,2065,1,27.7,6.8,0.76,successions culturales,grandes cultures et prairies courte duree,645482.81,6285875.37
3531,2066,1,41.4,5.2,0.756,surfaces boisees,forets mixtes,661464.99,6285741.18
3532,2066,2,22.8,5.5,0.757,surfaces boisees,forets mixtes,661464.99,6285741.18
3533,2067,1,74.7,4.1,0.257,surfaces boisees,forets caducifoliees,677447.12,6285606.83
3534,2067,2,20.3,4.0,0.215,surfaces boisees,forets caducifoliees,677447.12,6285606.83
3535,2068,1,74.0,4.5,0.447,surfaces boisees,forets mixtes,693429.21,6285472.3
3536,2068,2,80.6,4.7,0.444,surfaces boisees,forets mixtes,693429.21,6285472.3
3537,2069,1,29.9,5.8,0.567,friches,friches,709411.35,6285337.58
3538,2070,1,25.8,7.0,0.638,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,725393.54,6285202.63
3539,2071,1,35.1,8.3,0.552,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,741375.72,6285067.54
